,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD)
0,A Force Manufacturing Ltd. 1GX64B160K 8GB,28,12.5,9.3,NA
1,A Force Manufacturing Ltd. 1GX64V133I 8GB,28,13.4,9.5,NA
2,A Force Manufacturing Ltd. 1GX64V160K 8GB,25,14.0,8.9,NA
3,A Force Manufacturing Ltd. 1GX72B160K 8GB,32,13.8,10.6,NA
4,A Force Manufacturing Ltd. 1GX72V133I 8GB,32,9.3,7.2,NA
5,A Force Manufacturing Ltd. 25664Y133I 2GB,27,14.5,8.1,NA
6,A Force Manufacturing Ltd. 25664Y160K 2GB,70,4.6,3.4,NA
7,A Force Manufacturing Ltd. 51264V160K 4GB,32,9.2,4.3,NA
8,A Force Manufacturing Ltd. 51264Y133I 4GB,26,13.3,9.4,NA
9,A Force Manufacturing Ltd. 51264Y160K 4GB,26,14.9,9.8,NA
10,A-DATA Technology 10241925 2GB,28,14.1,7.8,NA
11,A-DATA Technology 10242272 8GB,28,14.1,8.5,NA
12,A-DATA Technology 10242281 8GB,28,12.1,7.7,NA
13,A-DATA Technology 10242397 4GB,37,14.3,8.8,NA
14,A-DATA Technology 10242398 4GB,70,6.2,3.5,NA
15,A-DATA Technology 10242646 8GB,29,9.0,5.1,NA
16,A-DATA Technology 10281763 4GB,28,12.3,8.2,NA
17,A-DATA Technology AD63I1B0823EV 2GB,26,13.1,7.6,NA
18,A-DATA Technology AD63I1B0823EZD 2GB,26,13.9,7.5,NA
19,A-DATA Technology AD63I1B16ZZEU 2GB,67,6.7,5.3,NA
20,A-DATA Technology AD63I1C08ZZE1 4GB,28,13.4,7.4,NA
21,A-DATA Technology AD63I1C1624EV 4GB,27,12.8,7.6,NA
22,A-DATA Technology AD63I1C1624EVS 4GB,31,12.7,6.9,NA
23,A-DATA Technology AD63I1D1624EVDH 4GB,60,7.4,5.8,NA
24,A-DATA Technology AD64C1D1624E1B 8GB,26,13.9,9.5,NA
25,A-DATA Technology AD73I1B1672EG 2GB,26,12.2,8.5,NA
26,A-DATA Technology AD73I1C1674EV 4GB,40,11.3,7.5,NA
27,A-DATA Technology AM1L16BC2P1-B1FS 2GB,88,5.3,3.7,NA
28,A-DATA Technology AM1L16BC4R1-B1GS 4GB,30,11.0,7.1,NA
29,A-DATA Technology AM1L16BC4R1-B1HS 4GB,87,5.4,3.8,NA
30,A-DATA Technology AM1L16BC4R1-B1MS 4GB,30,8.8,4.3,NA
31,A-DATA Technology AM1L16BC4R1-B1PS 4GB,28,11.7,7.3,NA
32,A-DATA Technology AM1L16BC8R2-B1NS 8GB,30,12.2,9.0,NA
33,A-DATA Technology AM1L16BC8R2-B1QS 8GB,44,13.1,9.3,NA
34,A-DATA Technology AM1L16BC8R2-B1XS 8GB,28,12.6,8.5,NA
35,A-DATA Technology AM1U16BC4P2-B19B 4GB,84,2.3,2.4,NA
36,A-DATA Technology AM1U16BC4P2-B19C 4GB,42,5.7,6.0,NA
37,A-DATA Technology AM1U16BC4P2-B19H 4GB,27,11.2,8.4,NA
38,A-DATA Technology AM2L16BC4R1-B0AS 4GB,27,13.4,7.8,NA
39,A-DATA Technology AM2L16BC4R1-B0CS 4GB,26,9.8,4.6,NA
40,A-DATA Technology AM2L16BC4R1-B0PS 4GB,36,15.6,8.8,NA
41,A-DATA Technology AM2L16BC4R1-B0WS 4GB,26,14.1,9.5,NA
42,A-DATA Technology AM2L16BC8R2-B06S 8GB,26,12.0,7.6,NA
43,A-DATA Technology AM2L16BC8R2-B0BS 8GB,24,11.2,5.4,NA
44,A-DATA Technology AM2L16BC8R2-B0QS 8GB,26,10.9,7.7,NA
45,A-DATA Technology AM2L16BC8R2-B0XS 8GB,25,13.0,7.2,NA
46,A-DATA Technology AM2U139C2P1-B00S 2GB,27,12.0,9.9,NA
47,A-DATA Technology AM2U139C4P2-B01S 4GB,26,13.2,8.3,NA
48,A-DATA Technology AM2U139C4P2-B05S 4GB,26,13.9,8.3,NA
49,A-DATA Technology AM2U139C4P2-B07S 4GB,26,14.0,8.2,NA
50,A-DATA Technology AM2U139C4P2-S01S 4GB,25,13.1,8.5,NA
51,A-DATA Technology AM2U139C4P284V 4GB,24,9.6,4.5,NA
52,A-DATA Technology AM2U16BC4P2-B01S 4GB,23,15.6,9.9,NA
53,A-DATA Technology AM2U16BC4P2-B05B 4GB,35,14.6,9.5,NA
54,A-DATA Technology AM2U16BC4P2-B05J 4GB,25,13.8,9.9,NA
55,A-DATA Technology AM2U16BC4P2-B05S 4GB,67,6.0,4.5,NA
56,A-DATA Technology AM2U16BC8R2-B06S 8GB,28,11.2,10.5,NA
57,A-DATA Technology AO1L16BC4R1-BQ7S 4GB,38,12.2,8.4,NA
58,A-DATA Technology AO2L16BC4R1-BR1S 4GB,34,13.2,7.8,NA
59,A-DATA Technology AO2L16BC8R2-BR2S 8GB,39,15.1,9.6,NA
60,A-DATA Technology AO2L16BC8R2-BTES 8GB,32,16.1,10.5,NA
61,A-DATA Technology D63I1B16 2GB,27,14.5,8.4,NA
62,A-DATA Technology DDR3 1333+ 2GB,71,6.8,5.3,NA
63,A-DATA Technology DDR3 1333G 2GB,40,13.6,7.8,NA
64,A-DATA Technology DDR3 1600 2OZ 4GB,36,15.0,8.8,NA
65,A-DATA Technology DDR3 1600 4GB,41,14.3,8.8,NA
66,A-DATA Technology DDR3 1600+ 2GB,24,12.0,6.2,NA
67,A-DATA Technology DDR3 1600G 2OZ 2GB,37,13.0,9.7,NA
68,A-DATA Technology DDR3 1600G 4GB,38,13.9,9.2,NA
69,A-DATA Technology DDR3 1600X 2GB,65,6.4,5.0,NA
70,A-DATA Technology DDR3 1866 2OZ 4GB,21,17.8,10.0,NA
71,A-DATA Technology DDR3 1866 8GB,39,14.6,8.9,NA
72,A-DATA Technology DDR3 1866G 2OZ 4GB,22,15.6,10.8,NA
73,A-DATA Technology DDR3 2000G 2GB,25,13.5,10.4,NA
74,A-DATA Technology DDR3 2000G 2OZ 4GB,23,15.4,9.8,NA
75,A-DATA Technology DDR3 2000X 2GB,23,14.2,9.7,NA
76,A-DATA Technology DDR3 2133 2OZ 4GB,40,14.6,9.9,NA
77,A-DATA Technology DDR3 2133 4GB,36,13.3,9.3,NA
78,A-DATA Technology DDR3 2133X 8GB,24,14.3,10.7,NA
79,A-DATA Technology DDR3 2400 2OZ 8GB,35,16.0,10.8,NA
80,A-DATA Technology DDR3 2400G 2OZ 8GB,35,14.2,10.7,NA
81,A-DATA Technology DDR3 2400G 4GB,69,6.9,4.3,NA
82,A-DATA Technology DDR3 2600 2OZ 8GB,21,17.3,11.4,NA
83,A-DATA Technology DDR3 2600G 2OZ 4GB,23,15.4,10.1,NA
84,A-DATA Technology DDR3 2800 2OZ 8GB,19,17.8,11.7,NA
85,A-DATA Technology DDR3 2933 2OZ 4GB,23,16.9,9.8,NA
86,A-DATA Technology DDR3L 1333G 4GB,26,12.3,8.3,NA
87,A-DATA Technology DDR3L 1600G 4GB,24,12.8,8.6,NA
88,A-DATA Technology EL63I1C1624ZV 4GB,28,12.2,7.3,NA
89,A-DATA Technology EL64C1C1624Z1 4GB,39,14.3,9.2,NA
90,A-DATA Technology EL64C1D1624Z1 8GB,38,13.4,8.9,NA
91,A-DATA Technology HY63I1B08ZZZS 2GB,68,6.2,4.9,NA
92,A-DATA Technology HY63I1B16 2GB,27,13.2,8.6,NA
93,A-DATA Technology HY64C1C1624ZY 4GB,37,12.8,7.6,NA
94,A-DATA Technology HYU3I1C16 4GB,26,11.3,8.4,NA
95,A-DATA Technology MI64C1D1629Z1 8GB,40,14.5,9.5,NA
96,A-DATA Technology MI74C1D16 8GB,28,10.4,5.1,NA
97,A-DATA Technology MI74C1D167HZ1 8GB,30,12.7,9.2,NA
98,A-DATA Technology MIF4D1D167HZ1 8GB,29,11.3,7.5,NA
99,A-DATA Technology MIF4D1D167HZ1J 8GB,40,12.3,8.9,NA
100,A-DATA Technology MIF4D2C087KZ1 4GB,28,11.2,9.0,NA
101,ACPI Digital Co. Ltd. CMA5-4GA01AAL12UU0 8GB,45,14.9,9.3,NA
102,Air Computers SRL MXUD3L08160011XB7R 8GB,89,6.1,3.6,NA
103,AMD  4GB,27,14.4,9.3,NA
104,AMD AE32G1339U1 2GB,28,9.9,7.5,NA
105,AMD AE32G1609U1 2GB,66,6.7,4.5,NA
106,AMD AE34G1339U1 4GB,71,6.2,3.7,NA
107,AMD AE34G1339U2 4GB,26,12.5,8.0,NA
108,AMD AE34G1601U1 4GB,67,6.8,3.6,NA
109,AMD AE34G1601U2K 4GB,70,6.4,4.7,NA
110,AMD AE34G1609U1 4GB,70,6.5,4.5,NA
111,AMD AE34G1609U1S 4GB,25,11.8,6.6,NA
112,AMD AE34G1609U2 4GB,34,16.1,9.8,NA
113,AMD AE34G1869U2 4GB,66,6.3,4.8,NA
114,AMD AE34G2139U2 4GB,56,7.4,5.6,NA
115,AMD AE34G2409U2 4GB,60,5.7,4.2,NA
116,AMD AE38G1339U2 8GB,70,6.1,4.0,NA
117,AMD AE38G1601U1 8GB,63,7.1,5.0,NA
118,AMD AE38G1601U2 8GB,25,15.7,10.2,NA
119,AMD AE38G1601U2K 8GB,72,6.2,5.2,NA
120,AMD AE38G1609U2 8GB,29,11.5,8.1,NA
121,AMD AE38G1869U2 8GB,67,6.7,3.6,NA
122,AMD AE38G2409U2 8GB,62,6.3,5.4,NA
123,AMD AG34G2130U1 4GB,22,15.9,10.5,NA
124,AMD AG34G2130U1S 4GB,23,17.6,11.2,NA
125,AMD AG38G2130U2 8GB,23,15.1,11.4,NA
126,AMD AG38G2130U2S 8GB,22,17.5,11.7,NA
127,AMD AP34G1338U1K 2GB,69,6.8,4.6,NA
128,AMD AP34G1608U1K 2GB,23,14.3,8.6,NA
129,AMD AP34G1860U2K 4GB,69,6.3,4.8,NA
130,AMD AP34G1869U1 4GB,22,16.0,8.7,NA
131,AMD AP34G1869U1S 4GB,23,16.1,9.5,NA
132,AMD AP38G1338U2K 4GB,23,15.8,10.4,NA
133,AMD AP38G1608U2K 4GB,24,14.4,9.2,NA
134,AMD AP38G1860U2K 4GB,74,6.0,4.2,NA
135,AMD AP38G1869U2 8GB,24,14.7,9.4,NA
136,AMD AP38G1869U2K 4GB,68,6.6,5.1,NA
137,AMD AP38G1869U2S 8GB,33,15.2,9.9,NA
138,AMD AV34G1339U2 4GB,71,5.8,4.2,NA
139,AMD AV34G1601U2 4GB,24,16.1,10.3,NA
140,AMD AV38G1339S2 8GB,28,8.6,4.4,NA
141,AMD AV38G1601U2 8GB,66,6.7,5.2,NA
142,AMD R332G1339U1S 2GB,25,9.2,4.1,NA
143,AMD R334G1339U2S 4GB,29,9.0,4.8,NA
144,AMD R5316G1609U2K 8GB,73,6.3,5.2,NA
145,AMD R534G1601U1S 4GB,68,6.5,4.7,NA
146,AMD R534G1601U1S-UO 4GB,27,14.7,9.2,NA
147,AMD R538G1601S2LS 8GB,28,11.3,8.2,NA
148,AMD R538G1601S2SL 8GB,49,12.5,8.5,NA
149,AMD R538G1601U1S 8GB,66,6.9,3.7,NA
150,AMD R538G1601U2S 8GB,32,15.6,10.3,NA
151,AMD R538G1601U2S-UGO 8GB,27,13.9,9.4,NA
152,AMD R538G1601U2S-UO 8GB,26,14.2,10.0,NA
153,AMD R538G1609U1K 4GB,77,6.3,4.7,NA
154,AMD R5S34G1601U1S 4GB,38,13.1,9.0,NA
155,AMD R5S38G1601U2S 8GB,37,15.2,9.4,NA
156,AMD R734G1869U1S 4GB,60,7.1,5.0,NA
157,AMD R738G1869U2S 8GB,25,9.0,4.9,NA
158,AMD R9316G2130U2K 8GB,23,17.4,12.0,NA
159,AMD R9316G2401U2K 8GB,20,16.6,11.7,NA
160,AMD R934G2130U1S 4GB,22,16.3,10.1,NA
161,AMD R934G2130U2 4GB,22,17.7,11.7,NA
162,AMD R934G2134U1 4GB,119,5.4,4.1,NA
163,AMD R934G2401U1S 4GB,21,16.7,11.3,NA
164,AMD R934G2401U2 4GB,75,7.2,5.2,NA
165,AMD R938G2130U1K 4GB,56,7.2,5.5,NA
166,AMD R938G2130U2S 8GB,26,16.0,11.5,NA
167,AMD R938G2401U1K 4GB,55,7.4,5.5,NA
168,AMD R938G2401U2S 8GB,22,16.8,11.9,NA
169,Apacer Technology 75.A73C1.G00 2GB,30,12.6,7.1,NA
170,Apacer Technology 75.A73C1.G02 2GB,26,14.0,8.2,NA
171,Apacer Technology 75.B83C1.G120B 4GB,68,7.0,5.3,NA
172,Apacer Technology 75.B83CG.G000C 4GB,29,7.2,4.2,NA
173,Apacer Technology 78.A1GC6.9H10C 2GB,26,13.4,8.4,NA
174,Apacer Technology 78.A1GC6.9K1 2GB,23,16.8,10.5,NA
175,Apacer Technology 78.A1GC6.9L1 2GB,28,8.8,4.2,NA
176,Apacer Technology 78.A1GC6.9LZ 2GB,30,6.4,3.4,NA
177,Apacer Technology 78.A1GDE.4200C 2GB,26,12.9,8.0,NA
178,Apacer Technology 78.A1GDE.C7Z0C 2GB,27,13.9,7.4,NA
179,Apacer Technology 78.A1GDE.CP00C 2GB,24,9.3,4.2,NA
180,Apacer Technology 78.A2GC9.AF0 2GB,56,6.7,5.0,NA
181,Apacer Technology 78.B1GDE.4210C 4GB,27,11.7,8.1,NA
182,Apacer Technology 78.B1GDE.9L10C 4GB,27,14.9,8.8,NA
183,Apacer Technology 78.B1GDE.AF1 4GB,27,14.1,8.7,NA
184,Apacer Technology 78.B1GDE.AT1 4GB,26,14.5,8.9,NA
185,Apacer Technology 78.B1GDE.AUZ0C 4GB,32,10.8,9.6,NA
186,Apacer Technology 78.B1GDE.C7Z0C 4GB,27,8.3,4.5,NA
187,Apacer Technology 78.B1GDE.CFZ0C 4GB,26,7.9,4.2,NA
188,Apacer Technology 78.B1GDF.AF3 4GB,28,14.1,8.3,NA
189,Apacer Technology 78.B1GE3.9L10C 4GB,25,14.3,9.7,NA
190,Apacer Technology 78.B1GE3.AFF0C 4GB,25,14.0,9.7,NA
191,Apacer Technology 78.B1GE3.AU10C 4GB,65,6.7,5.3,NA
192,Apacer Technology 78.B1GEP.4000C 4GB,31,8.8,4.3,NA
193,Apacer Technology 78.B1GEP.4200C 4GB,27,13.8,7.8,NA
194,Apacer Technology 78.B1GEP.9K00C 4GB,29,12.1,6.9,NA
195,Apacer Technology 78.B1GEP.9LZ0C 4GB,28,13.9,7.6,NA
196,Apacer Technology 78.B1GEP.C7Z0C 4GB,30,11.5,6.8,NA
197,Apacer Technology 78.B1GEP.CFZ0C 4GB,66,6.2,3.1,NA
198,Apacer Technology 78.B1GEP.CP00C 4GB,26,13.3,7.5,NA
199,Apacer Technology 78.B1GET.9K00C 4GB,25,13.7,7.9,NA
200,Apacer Technology 78.B1GET.9KZ0C 4GB,38,10.4,5.6,NA
201,Apacer Technology 78.B1GET.9LZ0C 4GB,30,8.9,4.3,NA
202,Apacer Technology 78.B1GET.AU00C 4GB,24,16.1,8.7,NA
203,Apacer Technology 78.B1GET.CFZ0C 4GB,27,7.8,3.9,NA
204,Apacer Technology 78.B1GET.CP00C 4GB,24,11.5,5.3,NA
205,Apacer Technology 78.B1GET.CPZ0C 4GB,25,12.4,7.6,NA
206,Apacer Technology 78.B2GC8.AF1 4GB,33,9.3,5.1,NA
207,Apacer Technology 78.B2GC9.AF1 4GB,28,9.0,4.2,NA
208,Apacer Technology 78.B2GC9.CY10C 4GB,27,9.0,4.3,NA
209,Apacer Technology 78.B2GCN.AZ00C 4GB,26,9.3,4.7,NA
210,Apacer Technology 78.BAGDE.CP10C 4GB,68,6.0,3.1,NA
211,Apacer Technology 78.BAGEF.ATD0C 4GB,65,7.0,4.9,NA
212,Apacer Technology 78.BAGEH.9LK0C 4GB,27,9.4,4.5,NA
213,Apacer Technology 78.BAGEJ.40K0C 4GB,25,13.8,9.3,NA
214,Apacer Technology 78.BAGEJ.9KK0C 4GB,26,14.1,9.7,NA
215,Apacer Technology 78.BAGEJ.9LK0C 4GB,25,13.5,9.4,NA
216,Apacer Technology 78.BAGEJ.AFK0C 4GB,24,13.9,9.5,NA
217,Apacer Technology 78.BAGEV.9KK0C 4GB,26,10.6,5.2,NA
218,Apacer Technology 78.BAGF4.AFD0C 4GB,89,6.4,4.4,NA
219,Apacer Technology 78.BAGFL.AFD0C 4GB,22,17.2,11.8,NA
220,Apacer Technology 78.BAGG0.CPJ0C 4GB,69,6.5,3.3,NA
221,Apacer Technology 78.BAGGC.9LK0C 4GB,25,10.9,5.3,NA
222,Apacer Technology 78.BAGGD.9LK0C 4GB,26,13.7,9.1,NA
223,Apacer Technology 78.BAGHR.AFL0C 4GB,50,8.4,5.8,NA
224,Apacer Technology 78.BAGJ5.AFL0C 4GB,69,6.0,4.0,NA
225,Apacer Technology 78.C1GEP.9K10C 8GB,28,10.6,6.2,NA
226,Apacer Technology 78.C1GEP.CP10C 8GB,28,12.3,8.7,NA
227,Apacer Technology 78.C1GER.ATE0C 8GB,26,15.2,9.8,NA
228,Apacer Technology 78.C1GET.4010C 8GB,88,10.7,7.0,NA
229,Apacer Technology 78.C1GET.9K10C 8GB,26,10.5,6.1,NA
230,Apacer Technology 78.C1GET.9L10C 8GB,24,14.1,9.4,NA
231,Apacer Technology 78.C1GET.AT10C 8GB,70,5.9,4.5,NA
232,Apacer Technology 78.C1GET.ATF0C 8GB,29,13.7,9.3,NA
233,Apacer Technology 78.C1GET.AU10C 8GB,22,16.4,10.1,NA
234,Apacer Technology 78.C1GET.B710C 8GB,73,5.6,4.3,NA
235,Apacer Technology 78.C1GET.CF10C 8GB,25,11.0,5.3,NA
236,Apacer Technology 78.C1GET.CP10C 8GB,28,13.2,9.4,NA
237,Apacer Technology 78.C1GET.DF10C 8GB,85,5.5,4.0,NA
238,Apacer Technology 78.C1GET.DFZ0B 8GB,74,5.6,3.0,NA
239,Apacer Technology 78.C1GG2.9K10C 8GB,25,16.1,9.7,NA
240,Apacer Technology 78.C1GG2.DF10C 8GB,27,9.8,5.1,NA
241,Apacer Technology 78.C2GCN.9K30C 8GB,29,13.0,9.0,NA
242,Apacer Technology 78.C2GCZ.9K30C 8GB,29,12.7,9.5,NA
243,Apacer Technology 78.C2GCZ.AU30C 8GB,39,11.8,8.8,NA
244,Apacer Technology 78.CAGF8.9KK0C 8GB,26,13.8,8.4,NA
245,Apacer Technology 78.CAGF8.CPK0C 8GB,26,14.5,9.7,NA
246,Apacer Technology 78.CAGG0.9KK0C 8GB,26,14.7,9.7,NA
247,Apacer Technology 78.CAGGP.ATK0C 8GB,25,10.4,5.4,NA
248,Apacer Technology 78.CAGGS.9KK0C 8GB,65,6.6,5.3,NA
249,Apacer Technology 78.CAGGT.DFK0C 8GB,23,15.9,9.9,NA
250,Apacer Technology 78.CAGH1.AFK0C 8GB,22,16.2,11.6,NA
251,Apacer Technology 78.CAGJW.AFM0C 8GB,62,7.0,5.0,NA
252,Apacer Technology 78.CAGL0.9K10C 8GB,25,15.4,10.1,NA
253,Apacer Technology AQD-D3L8GN16-MG 8GB,50,7.9,7.3,NA
254,Apacer Technology G02.02241H.001 8GB,27,15.8,9.9,NA
255,Aquarius Production Company LLC 08G-D3-1600-MR 4GB,27,13.3,8.6,NA
256,Aquarius Production Company LLC 08G-D3-2400-MR 4GB,20,18.4,11.6,NA
257,Aquarius Production Company LLC 16G-D3-1600-MR 8GB,27,12.8,8.6,NA
258,Aquarius Production Company LLC 16G-D3-1866-MR 8GB,21,16.5,11.6,NA
259,Aquarius Production Company LLC 16G-D3-2400-MR 8GB,20,18.7,12.3,NA
260,ASint Technology C1RE5LU4HN1 2GB,27,14.3,8.8,NA
261,ASint Technology SLA302G08-EDJ1C 4GB,40,12.9,7.4,NA
262,ASint Technology SLA302G08-GGNHC 4GB,37,14.9,9.4,NA
263,ASint Technology SLA302G08-GGNNG 4GB,37,14.1,9.3,NA
264,ASint Technology SLA302G08-MGJHB 4GB,22,13.6,8.6,NA
265,ASint Technology SLA304G08-EDJ1B 4GB,28,13.8,7.7,NA
266,ASint Technology SLA304G08-GGNHM 4GB,30,12.3,7.2,NA
267,ASint Technology SLB304G08-EDJ1B 8GB,27,11.1,5.9,NA
268,ASint Technology SLB304G08-GGNHM 8GB,36,15.4,9.3,NA
269,ASint Technology SLZ302G08-MDJHB 2GB,77,5.7,4.4,NA
270,ASint Technology SLZ3128M8-EDJ1D 2GB,66,6.6,5.5,NA
271,ASint Technology SLZ3128M8-EDJ6C 2GB,27,10.5,6.7,NA
272,ASint Technology SSA302G08-EGN1C 4GB,26,12.6,9.5,NA
273,ASint Technology SSA302G08-GGNHC 4GB,29,12.8,8.9,NA
274,ASint Technology SSZ302G08-GGNHC 2GB,95,4.2,3.1,NA
275,ASint Technology SSZ3128M8-EDJ1D 2GB,28,11.6,8.1,NA
276,ASint Technology SSZ3128M8-EDJ1F 2GB,28,11.3,8.4,NA
277,ASint Technology WLA302G08-ML2HB 4GB,26,8.1,4.4,NA
278,ASint Technology WLA304G08-EGN6B 4GB,64,6.4,3.5,NA
279,ASint Technology WLB308D08-EGN2A 8GB,26,14.2,10.7,NA
280,ASint Technology WLZ302G08-ML2HB 2GB,58,6.2,5.0,NA
281,Atla Electronics Co. Ltd. AD3SST4GG5WB-CKGEL 4GB,28,10.0,4.7,NA
282,ATP Electronics Inc. AL12M72E4BJH9S 4GB,27,12.2,9.1,NA
283,ATP Electronics Inc. AQ24M64B8BLK0S 8GB,30,12.0,8.7,NA
284,ATP Electronics Inc. AQ56M64A8BKK0S 2GB,33,4.8,6.6,NA
285,ATP Electronics Inc. AQ56M64B8BJH9S 2GB,27,14.3,8.3,NA
286,ATP Electronics Inc. XL16B8E8GMNE-BC 8GB,31,9.9,6.5,NA
287,Avant Technology F641GU67F1600G 8GB,37,14.5,9.1,NA
288,Avant Technology F641GU67F9333G 8GB,28,11.1,6.5,NA
289,Avant Technology F641GU67G1600G 8GB,37,12.5,7.7,NA
290,Avant Technology F641GU97F1600G 8GB,25,14.8,10.1,NA
291,Avant Technology F6451U64F1600G 4GB,25,15.7,10.3,NA
292,Avant Technology F6451U64F9333G 4GB,27,12.8,6.7,NA
293,Avant Technology F6451U66F1600G 4GB,90,6.4,4.4,NA
294,Avant Technology F6451U66F9333G 4GB,31,11.4,8.0,NA
295,Avant Technology F6451U66G1600G 4GB,66,6.8,4.9,NA
296,Avant Technology F6451U67F1600G 4GB,37,13.8,7.7,NA
297,Avant Technology F6451U67F9333G 4GB,38,14.1,7.8,NA
298,Avant Technology F6451U67G1600G 4GB,27,13.1,7.7,NA
299,Avant Technology F721GU67F3186G 8GB,25,12.8,6.2,NA
300,Avant Technology H641GU67F7066G 8GB,34,6.4,4.8,NA
301,Avant Technology H641GU67G1600G 8GB,38,12.9,8.6,NA
302,Avant Technology H641GU67G3186G 8GB,25,16.5,11.5,NA
303,Avant Technology H642GU42G1600G 16GB,29,13.9,10.1,NA
304,Avant Technology H6451U67G1600G 4GB,31,8.5,4.0,NA
305,Avexir Technologies Corporation [V.I.V] 8GB,24,14.9,9.9,$8.14*
306,Avexir Technologies Corporation DDR3 2400 CL10 4GB 4GB,23,15.6,11.0,NA
307,Avexir Technologies Corporation DDR3-1333 CL9 4GB,70,6.8,5.2,NA
308,Avexir Technologies Corporation DDR3-1333 CL9 8GB,28,8.2,4.4,NA
309,Avexir Technologies Corporation DDR3-1600 CL10 8GB,25,14.7,10.0,NA
310,Avexir Technologies Corporation DDR3-1600 CL11 4GB 4GB,38,14.5,9.7,NA
311,Avexir Technologies Corporation DDR3-1600 CL11 8GB 8GB,36,14.7,9.5,NA
312,Avexir Technologies Corporation DDR3-1600 CL8 2GB,63,6.7,4.9,NA
313,Avexir Technologies Corporation DDR3-1600 CL9 2GB,68,6.4,5.3,NA
314,Avexir Technologies Corporation DDR3-1600 CL9 4GB,25,14.4,9.0,NA
315,Avexir Technologies Corporation DDR3-1866 CL8 4GB,20,16.5,11.9,NA
316,Avexir Technologies Corporation DDR3-1866 CL9 4GB,24,14.9,9.5,NA
317,Avexir Technologies Corporation DDR3-1866 CL9 8GB 8GB,26,14.8,9.9,NA
318,Avexir Technologies Corporation DDR3-2000 CL9 4GB 4GB,19,17.9,11.8,NA
319,Avexir Technologies Corporation DDR3-2000 CL9 8GB 8GB,20,16.3,12.1,NA
320,Avexir Technologies Corporation DDR3-2133 CL11 4GB 4GB,23,16.2,10.3,NA
321,Avexir Technologies Corporation DDR3-2133 CL11 8GB 8GB,23,16.4,11.6,NA
322,Avexir Technologies Corporation DDR3-2133 CL9 4GB,22,16.0,11.1,NA
323,Avexir Technologies Corporation DDR3-2133 CL9 8GB 8GB,26,14.3,9.4,NA
324,Avexir Technologies Corporation DDR3-2400 CL10 4GB,23,16.7,11.0,NA
325,Avexir Technologies Corporation DDR3-2400 CL10 8GB 8GB,22,16.4,12.1,NA
326,Avexir Technologies Corporation DDR3-2400 CL11 4GB 4GB,21,17.9,11.8,NA
327,Avexir Technologies Corporation DDR3-2400 CL11 8GB 8GB,22,17.0,12.2,NA
328,Avexir Technologies Corporation DDR3-2666 CL11 4GB,21,16.9,11.2,NA
329,Avexir Technologies Corporation DDR3-2800 CL12 4GB,22,15.9,11.5,NA
330,Avexir Technologies Corporation DDR3-2800 CL12 8GB 8GB,19,20.1,12.7,NA
331,Avexir Technologies Corporation DDR3-2933 CL12 4GB 4GB,22,16.1,10.0,NA
332,Avexir Technologies Corporation GD16004G51 4GB,28,12.0,6.7,NA
333,Avexir Technologies Corporation GD16008G52 8GB,34,14.8,8.6,NA
334,Avexir Technologies Corporation GD18664G51 4GB,26,14.3,8.6,NA
335,Avexir Technologies Corporation GD18668G52 8GB,24,15.9,11.5,NA
336,Avexir Technologies Corporation L 8GB,26,11.3,5.5,NA
337,Avexir Technologies Corporation Michel Exel 4GB,25,14.7,9.4,NA
338,Avexir Technologies Corporation MSI Z77 MPOWER 4GB,37,12.4,10.1,NA
339,Avexir Technologies Corporation TheOverclocker_Neo 4GB,23,17.4,11.2,NA
340,Avexir Technologies Corporation William Hemmens 4GB,17,19.3,13.2,NA
341,Avexir Technologies Corporation www.pcaxe.com 4GB,18,19.8,11.6,NA
342,Avexir Technologies Corporation Y 8GB,26,14.4,9.6,NA
343,BRC MD301GNSA-CA3G1 8GB,39,15.4,9.6,NA
344,BRC MD3512NSA-CA3G1 4GB,36,12.1,7.4,NA
345,Buffalo (Formerly Melco)  2GB,49,11.1,7.2,NA
346,Carry Technology Co. Ltd. S3A8G93-16GBPE3A00 8GB,34,10.9,8.4,NA
347,Carry Technology Co. Ltd. S3A8G93-16GBPE3B00 8GB,66,4.0,4.1,NA
348,Carry Technology Co. Ltd. S3A8GA3-16GBJT3A00 8GB,28,12.0,8.0,NA
349,Carry Technology Co. Ltd. U3A2G73-13G9HE2B00 2GB,71,6.8,4.7,NA
350,Carry Technology Co. Ltd. U3A2G73-16GBHN3B00 2GB,65,6.7,5.4,NA
351,Carry Technology Co. Ltd. U3A2G83-16G9LN2B00 2GB,60,7.3,5.7,NA
352,Carry Technology Co. Ltd. U3A2G83-16GBHE1B00 2GB,71,7.1,4.9,NA
353,Carry Technology Co. Ltd. U3A2G83-18G9JH1C00 2GB,65,7.0,5.5,NA
354,Carry Technology Co. Ltd. U3A4G83-13G9BE3B00 4GB,67,6.4,3.4,NA
355,Carry Technology Co. Ltd. U3A4G83-16G9BE1B00 4GB,25,15.0,10.3,NA
356,Carry Technology Co. Ltd. U3A4G83-16G9HE1B00 4GB,64,6.5,3.1,NA
357,Carry Technology Co. Ltd. U3A4G83-16G9LN2B00 4GB,24,16.3,10.0,NA
358,Carry Technology Co. Ltd. U3A4G83-18G9JH1C00 4GB,56,7.6,4.3,NA
