,CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD),lien
735,AMD Phenom II P960 Quad-Core,"1,386",3051,35.42,$39.12*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+P960+Quad-Core&id=328
738,AMD Phenom II X2 545,"1,218",3184,27.69,$43.98*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X2+545&id=331
739,AMD Phenom II X2 550,"1,158",3239,28.01,$41.35*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X2+550&id=332
740,AMD Phenom II X2 555,"1,316",3097,101.02,$13.03,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X2+555&id=333
741,AMD Phenom II X2 560,"1,375",3057,77.61,$17.72,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X2+560&id=334
742,AMD Phenom II X2 565,"1,442",3013,8.54,$168.87*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X2+565&id=335
745,AMD Phenom II X2 B55,"1,183",3215,31.18,$37.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X2+B55&id=337
747,AMD Phenom II X2 B59,"1,431",3016,29.80,$48.02*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X2+B59&id=338
749,AMD Phenom II X3 705e,"1,222",3179,8.02,$152.34*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X3+705e&id=340
750,AMD Phenom II X3 710,"1,551",2929,9.18,$169.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X3+710&id=341
751,AMD Phenom II X3 720,"1,554",2925,24.11,$64.45*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X3+720&id=343
752,AMD Phenom II X3 740,"1,424",3025,16.00,$88.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X3+740&id=344
753,AMD Phenom II X3 B73,"1,538",2944,20.50,$75.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X3+B73&id=345
754,AMD Phenom II X3 B75,"1,619",2876,32.41,$49.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X3+B75&id=346
755,AMD Phenom II X3 B77,"1,844",2740,82.71,$22.29*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X3+B77&id=347
756,AMD Phenom II X4 805,"1,931",2678,11.10,$173.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+805&id=353
757,AMD Phenom II X4 810,"1,914",2690,8.99,$213.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+810&id=354
758,AMD Phenom II X4 820,"2,065",2602,33.30,$62.02*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+820&id=355
759,AMD Phenom II X4 830,"2,102",2582,110.58,$19.01*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+830&id=356
760,AMD Phenom II X4 840,"2,378",2418,79.26,$30.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+840&id=357
761,AMD Phenom II X4 840T,"2,305",2471,39.74,$58.02*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+840T&id=358
762,AMD Phenom II X4 850,"2,361",2430,36.33,$64.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+850&id=359
764,AMD Phenom II X4 905e,"2,004",2635,37.11,$53.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+905e&id=362
765,AMD Phenom II X4 910,"1,776",2780,17.76,$100.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+910&id=363
766,AMD Phenom II X4 910e,"2,072",2597,29.64,$69.90*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+910e&id=364
767,AMD Phenom II X4 920,"2,209",2530,79.19,$27.89*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+920&id=365
768,AMD Phenom II X4 925,"2,240",2507,107.90,$20.76*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+925&id=366
769,AMD Phenom II X4 940,"2,285",2482,10.79,$211.77,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+940&id=367
770,AMD Phenom II X4 945,"2,368",2423,98.71,$23.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+945&id=7
771,AMD Phenom II X4 955,"2,483",2364,42.08,$59.01*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+955&id=368
772,AMD Phenom II X4 960T,"2,334",2451,118.98,$19.62,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+960T&id=369
773,AMD Phenom II X4 965,"2,602",2306,35.16,$74.02*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+965&id=370
774,AMD Phenom II X4 970,"2,668",2280,62.20,$42.89,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+970&id=371
776,AMD Phenom II X4 975,"2,486",2361,35.54,$69.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+975&id=373
778,AMD Phenom II X4 980,"2,839",2208,21.83,$130.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+980&id=374
791,AMD Phenom II X4 B95,"2,383",2416,38.42,$62.02*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+B95&id=385
792,AMD Phenom II X4 B97,"2,539",2335,31.75,$79.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+B97&id=386
794,AMD Phenom II X6 1035T,"2,962",2165,27.42,$108.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X6+1035T&id=388
795,AMD Phenom II X6 1045T,"3,128",2087,65.17,$47.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X6+1045T&id=389
796,AMD Phenom II X6 1055T,"3,289",2025,95.90,$34.30,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X6+1055T&id=390
797,AMD Phenom II X6 1065T,"3,370",1990,50.77,$66.37,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X6+1065T&id=391
798,AMD Phenom II X6 1075T,"3,377",1987,51.92,$65.04,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X6+1075T&id=392
799,AMD Phenom II X6 1090T,"3,749",1872,53.75,$69.75,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X6+1090T&id=393
800,AMD Phenom II X6 1100T,"3,819",1849,29.93,$127.59,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X6+1100T&id=394
810,AMD Phenom X3 8550,"1,079",3315,36.02,$29.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+X3+8550&id=290
822,AMD PRO A10-9700,"3,659",1900,21.65,$169.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+PRO+A10-9700&id=2883
824,AMD PRO A10-9700E,"3,028",2130,21.79,$139.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+PRO+A10-9700E&id=2824
829,AMD PRO A12-9800,"3,758",1868,22.24,$169.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+PRO+A12-9800&id=2939
831,AMD PRO A12-9800E,"3,181",2068,18.82,$169.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+PRO+A12-9800E&id=2944
834,AMD PRO A4-8350B,"1,635",2870,56.39,$28.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+PRO+A4-8350B&id=2714
841,AMD PRO A6-9500,"1,770",2789,23.92,$74.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+PRO+A6-9500&id=2942
843,AMD PRO A6-9500E,"1,662",2849,22.46,$74.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+PRO+A6-9500E&id=2950
847,AMD PRO A8-9600,"3,329",2005,27.97,$119.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+PRO+A8-9600&id=2860
857,AMD Ryzen 3 1200,"6,322",1346,125.86,$50.23,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+3+1200&id=3029
858,AMD Ryzen 3 1300X,"6,971",1236,111.97,$62.26,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+3+1300X&id=3057
859,AMD Ryzen 3 2200G,"6,767",1270,45.11,$150.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+3+2200G&id=3186
863,AMD Ryzen 3 2300X,"7,514",1150,42.19,$178.09*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+3+2300X&id=3395
864,AMD Ryzen 3 3100,"11,635",839,162.39,$71.65,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+3+3100&id=3715
865,AMD Ryzen 3 3200G,"7,160",1204,93.47,$76.60,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+3+3200G&id=3497
871,AMD Ryzen 3 3300X,"12,677",797,86.45,$146.64,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+3+3300X&id=3716
873,AMD Ryzen 3 4100,"11,041",871,169.88,$64.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+3+4100&id=4832
874,AMD Ryzen 3 4300G,"10,922",880,88.08,$124.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+3+4300G&id=3808
905,AMD Ryzen 5 1400,"7,783",1119,194.81,$39.95,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+1400&id=2992
906,AMD Ryzen 5 1500X,"9,102",1007,178.68,$50.94,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+1500X&id=3001
907,AMD Ryzen 5 1600,"12,299",810,238.82,$51.50,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+1600&id=2984
908,AMD Ryzen 5 1600X,"13,066",777,94.11,$138.84,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+1600X&id=3000
909,AMD Ryzen 5 2400G,"8,739",1027,89.76,$97.36,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+2400G&id=3183
913,AMD Ryzen 5 2600,"13,219",768,212.29,$62.27,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+2600&id=3243
915,AMD Ryzen 5 2600X,"13,961",725,180.61,$77.30,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+2600X&id=3235
918,AMD Ryzen 5 3400G,"9,293",986,87.70,$105.97,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+3400G&id=3498
919,AMD Ryzen 5 3400GE,"8,901",1020,25.04,$355.40,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+3400GE&id=3690
921,AMD Ryzen 5 3500,"12,801",790,64.01,$199.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+3500&id=3588
924,AMD Ryzen 5 3500X,"13,205",769,132.07,$99.98,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+3500X&id=3592
928,AMD Ryzen 5 3600,"17,784",558,213.01,$83.49,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+3600&id=3481
929,AMD Ryzen 5 3600X,"18,238",542,140.42,$129.88,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+3600X&id=3494
930,AMD Ryzen 5 3600XT,"18,693",521,50.80,$368.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+3600XT&id=3781
932,AMD Ryzen 5 4500,"16,217",623,215.97,$75.09,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+4500&id=4816
934,AMD Ryzen 5 4600G,"16,031",630,157.18,$101.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+4600G&id=3807
939,AMD Ryzen 5 5500,"19,554",490,230.08,$84.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+5500&id=4807
942,AMD Ryzen 5 5600,"21,605",418,180.06,$119.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+5600&id=4811
943,AMD Ryzen 5 5600G,"19,918",474,163.53,$121.80,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+5600G&id=4325
947,AMD Ryzen 5 5600X,"21,933",406,140.23,$156.41,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+5600X&id=3859
959,AMD Ryzen 5 7600,"27,552",263,125.24,$219.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+7600&id=5172
960,AMD Ryzen 5 7600X,"28,748",238,131.87,$218.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+7600X&id=5033
978,AMD Ryzen 5 PRO 4650G,"16,260",621,151.98,$106.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+PRO+4650G&id=3795
994,AMD Ryzen 7 1700,"14,821",680,169.60,$87.39,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+1700&id=2970
995,AMD Ryzen 7 1700X,"15,665",644,218.66,$71.64,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+1700X&id=2969
996,AMD Ryzen 7 1800X,"16,416",613,55.65,$295.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+1800X&id=2966
997,AMD Ryzen 7 2700,"15,737",642,150.04,$104.88,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+2700&id=3240
1000,AMD Ryzen 7 2700X,"17,564",566,161.44,$108.80,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+2700X&id=3238
1004,AMD Ryzen 7 3700X,"22,624",387,153.94,$146.97,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+3700X&id=3485
1007,AMD Ryzen 7 3800X,"23,222",360,140.85,$164.87,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+3800X&id=3499
1008,AMD Ryzen 7 3800XT,"23,706",347,114.80,$206.50,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+3800XT&id=3797
1009,AMD Ryzen 7 4700G,"20,210",468,85.96,$235.12,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+4700G&id=3836
1018,AMD Ryzen 7 5700G,"24,671",326,146.97,$167.86,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+5700G&id=4323
1021,AMD Ryzen 7 5700X,"26,786",279,144.80,$184.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+5700X&id=4814
1027,AMD Ryzen 7 5800X,"28,002",252,124.44,$225.03,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+5800X&id=3869
1028,AMD Ryzen 7 5800X3D,"28,238",247,97.52,$289.55,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+5800X3D&id=4823
1034,AMD Ryzen 7 7700,"35,088",159,109.72,$319.79,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+7700&id=5169
1035,AMD Ryzen 7 7700X,"36,292",156,114.94,$315.75,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+7700X&id=5036
1042,AMD Ryzen 7 7800X3D,"34,603",165,78.82,$439.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+7800X3D&id=5299
1053,AMD Ryzen 7 PRO 3700,"22,963",374,69.59,$329.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+PRO+3700&id=3564
1056,AMD Ryzen 7 PRO 4750G,"20,541",457,82.50,$248.97,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+PRO+4750G&id=3789
1072,AMD Ryzen 9 3900,"30,833",206,61.17,$504.05,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3900&id=3575
1073,AMD Ryzen 9 3900X,"32,697",188,150.68,$216.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3900X&id=3493
1074,AMD Ryzen 9 3900XT,"32,753",185,83.98,$390.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3900XT&id=3778
1075,AMD Ryzen 9 3950X,"38,902",139,84.57,$459.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3950X&id=3598
1083,AMD Ryzen 9 5900X,"39,254",137,130.85,$299.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+5900X&id=3870
1084,AMD Ryzen 9 5950X,"45,833",105,103.76,$441.71,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+5950X&id=3862
1091,AMD Ryzen 9 7900,"49,156",84,117.04,$419.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7900&id=5167
1092,AMD Ryzen 9 7900X,"52,188",74,127.60,$409.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7900X&id=5027
1093,AMD Ryzen 9 7900X3D,"50,672",77,90.32,$561.05,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7900X3D&id=5240
1097,AMD Ryzen 9 7950X,"63,317",38,117.04,$540.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7950X&id=5031
1098,AMD Ryzen 9 7950X3D,"62,623",42,94.73,$661.08,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7950X3D&id=5234
1126,AMD Ryzen Threadripper 1900X,"17,014",590,121.54,$139.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+1900X&id=3086
1128,AMD Ryzen Threadripper 1920X,"23,070",364,109.86,$209.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+1920X&id=3062
1129,AMD Ryzen Threadripper 1950X,"27,599",262,47.33,$583.10*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+1950X&id=3058
1130,AMD Ryzen Threadripper 2920X,"25,083",315,26.40,$950.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+2920X&id=3354
1131,AMD Ryzen Threadripper 2950X,"29,405",228,27.35,"$1,075.00",https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+2950X&id=3316
1132,AMD Ryzen Threadripper 2970WX,"29,851",222,20.74,"$1,439.00",https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+2970WX&id=3345
1133,AMD Ryzen Threadripper 2990WX,"32,416",193,16.21,"$1,999.99",https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+2990WX&id=3309
1135,AMD Ryzen Threadripper 3960X,"54,892",65,37.23,"$1,474.51",https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+3960X&id=3617
1136,AMD Ryzen Threadripper 3970X,"63,274",39,25.36,"$2,495.00",https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+3970X&id=3623
1137,AMD Ryzen Threadripper 3990X,"80,934",17,16.65,"$4,861.00",https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+3990X&id=3674
1139,AMD Ryzen Threadripper PRO 3955WX,"40,446",132,40.82,$990.80,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3955WX&id=3846
1140,AMD Ryzen Threadripper PRO 3975WX,"62,838",40,20.97,"$2,997.19",https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3975WX&id=3851
1141,AMD Ryzen Threadripper PRO 3995WX,"83,349",15,12.14,"$6,866.00",https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3995WX&id=3837
1143,AMD Ryzen Threadripper PRO 5955WX,"49,921",80,45.38,"$1,099.99",https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+5955WX&id=4767
1144,AMD Ryzen Threadripper PRO 5965WX,"66,697",35,33.35,"$1,999.99",https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+5965WX&id=4768
1145,AMD Ryzen Threadripper PRO 5975WX,"75,798",21,28.07,"$2,699.99",https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+5975WX&id=4776
1146,AMD Ryzen Threadripper PRO 5995WX,"97,285",6,17.07,"$5,699.99",https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+5995WX&id=4764
1148,AMD Sempron 130,501,3946,16.69,$30.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+130&id=401
1149,AMD Sempron 140,486,3961,40.69,$11.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+140&id=402
1150,AMD Sempron 145,506,3944,12.66,$39.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+145&id=403
1151,AMD Sempron 150,597,3834,39.96,$14.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+150&id=404
1152,AMD Sempron 200U,125,4424,1.43,$87.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+200U&id=1588
1154,AMD Sempron 2200+,184,4346,4.60,$39.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+2200%2B&id=405
1155,AMD Sempron 2300+,207,4306,4.60,$45.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+2300%2B&id=406
1156,AMD Sempron 240,"1,278",3126,35.39,$36.10*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+240&id=3327
1157,AMD Sempron 2400+,205,4310,15.74,$12.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+2400%2B&id=407
1158,AMD Sempron 2500+,207,4305,3.45,$59.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+2500%2B&id=408
1159,AMD Sempron 2600+,253,4237,7.23,$34.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+2600%2B&id=409
1160,AMD Sempron 2650 APU,561,3886,3.33,$168.20,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+2650+APU&id=2214
1161,AMD Sempron 2800+,243,4253,8.11,$29.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+2800%2B&id=410
1162,AMD Sempron 3000+,286,4195,8.18,$34.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+3000%2B&id=411
1163,AMD Sempron 3100+,298,4176,4.58,$65.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+3100%2B&id=420
1164,AMD Sempron 3200+,251,4243,2.01,$124.68*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+3200%2B&id=412
1165,AMD Sempron 3300+,315,4154,15.74,$20.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+3300%2B&id=413
1166,AMD Sempron 3400+,292,4185,3.37,$86.68*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+3400%2B&id=421
1167,AMD Sempron 3500+,232,4278,9.28,$24.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+3500%2B&id=422
1168,AMD Sempron 3600+,364,4084,24.24,$15.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+3600%2B&id=423
1169,AMD Sempron 3800+,360,4088,24.03,$14.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+3800%2B&id=424
1170,AMD Sempron 3850 APU,"1,131",3262,23.78,$47.57,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+3850+APU&id=2209
1171,AMD Sempron Dual Core 2100,533,3913,14.04,$37.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+Dual+Core+2100&id=414
1172,AMD Sempron Dual Core 2200,563,3881,14.09,$39.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+Dual+Core+2200&id=415
1173,AMD Sempron Dual Core 2300,555,3891,13.22,$41.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+Dual+Core+2300&id=416
1174,AMD Sempron LE-1100,315,4150,9.02,$34.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+LE-1100&id=425
1175,AMD Sempron LE-1150,251,4241,16.82,$14.94*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+LE-1150&id=426
1176,AMD Sempron LE-1200,349,4099,23.32,$14.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+LE-1200&id=427
1177,AMD Sempron LE-1250,301,4171,3.01,$99.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+LE-1250&id=428
1178,AMD Sempron LE-1300,417,4025,15.44,$27.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+LE-1300&id=429
1179,AMD Sempron M100,338,4115,28.15,$12.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+M100&id=417
1181,AMD Sempron SI-40,288,4192,24.02,$12.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+SI-40&id=431
1182,AMD Sempron SI-42,245,4250,8.15,$29.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+SI-42&id=432
1183,AMD Sempron X2 180,826,3570,11.90,$69.40*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+X2+180&id=433
1184,AMD Sempron X2 190,879,3513,10.53,$83.44*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+X2+190&id=434
1192,AMD Turion 64 Mobile ML-37,334,4123,12.86,$25.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Turion+64+Mobile+ML-37&id=450
1200,AMD Turion 64 X2 Mobile TL-50,474,3971,24.97,$18.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Turion+64+X2+Mobile+TL-50&id=458
1202,AMD Turion 64 X2 Mobile TL-56,451,3993,6.90,$65.40*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Turion+64+X2+Mobile+TL-56&id=460
1204,AMD Turion 64 X2 Mobile TL-60,639,3790,40.06,$15.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Turion+64+X2+Mobile+TL-60&id=462
1205,AMD Turion 64 X2 Mobile TL-62,756,3651,26.06,$29.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Turion+64+X2+Mobile+TL-62&id=463
1206,AMD Turion 64 X2 Mobile TL-64,675,3753,17.14,$39.39*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Turion+64+X2+Mobile+TL-64&id=464
1207,AMD Turion 64 X2 Mobile TL-66,696,3721,7.82,$89.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Turion+64+X2+Mobile+TL-66&id=465
1208,AMD Turion 64 X2 Mobile TL-68,866,3527,9.62,$90.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Turion+64+X2+Mobile+TL-68&id=466
1209,AMD Turion Dual-Core RM-70,561,3884,22.46,$25.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Turion+Dual-Core+RM-70&id=436
1210,AMD Turion Dual-Core RM-72,649,3782,21.69,$29.90*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Turion+Dual-Core+RM-72&id=437
